id	filename	md5	size	state
8b82a7e4-24e9-46c2-aab3-a623142b5dc9	d3c4b94e-6e9d-4705-9e08-bf81a32764d2.rna_seq.augmented_star_gene_counts.tsv	fc0897fabbc38ad3d81e9726074e2f72	4237904	released
2692911e-0ca2-4756-8613-d7c943bc3ae1	879f8ca7-b94f-496d-94d3-a93571c1a6e7.rna_seq.augmented_star_gene_counts.tsv	43d50033ecbba2ebea86e53954bd03bb	4238020	released
d3819816-a957-49a8-923c-a52825a5ad61	b6dc4a19-b907-47d9-969e-6b87c0cf80c9.rna_seq.augmented_star_gene_counts.tsv	481583f0df5cf8c71ce3b78fa3d563e1	4235513	released
ac66365d-531f-4e36-8ceb-63da59bef304	4dfdbbfc-cebd-4354-b04f-898f37bf38ac.rna_seq.augmented_star_gene_counts.tsv	ad7188d872db1a4e65df1ede11adcf6f	4227754	released
8c5159b9-ce05-4c68-ac8b-b22720f48d7c	60b371e4-0fbe-4c7b-9149-14413bd62032.rna_seq.augmented_star_gene_counts.tsv	7db238f2b2978f3104dda167450bcd8e	4256878	released
c642c3ca-d565-40f4-a9e9-cb7771f012b6	ff4284af-295f-407a-ae37-dbc7da985591.rna_seq.augmented_star_gene_counts.tsv	b4e1d333bd0d2e4bae6c775d1a7b7f2f	4256817	released
33732cbc-635c-4cd5-bfef-09dfe1cea4e2	a276b9ca-af6b-4665-b9c0-aea57d42238f.rna_seq.augmented_star_gene_counts.tsv	91ce970ec2ef596b7e35a853bc913b0b	4245044	released
0007888f-8d96-4c01-8251-7fef6cc71596	88215dd0-5841-44f1-9393-eefd8238cbb3.rna_seq.augmented_star_gene_counts.tsv	3189bb6c7ba67fa9902beafe76dbdf8e	4239705	released
50354900-3c3a-4e11-9bd9-e44fbaea7a9e	5007de0a-0d57-4bbd-96fc-a17d74f17c7c.rna_seq.augmented_star_gene_counts.tsv	f1717c6bce37edc0976773d59b84bbb9	4248588	released
29d3f44a-ce3c-4162-9c5b-c62eff90bd91	673ef155-1bba-466d-92b4-cecb4121946e.rna_seq.augmented_star_gene_counts.tsv	2866fa7ad90a92c2de6c6840dd38cb6c	4242812	released
72828db8-8ac2-48f0-bd19-a448d35585e1	f51e4f6d-f132-4752-9079-774258d23fbd.rna_seq.augmented_star_gene_counts.tsv	01b4d06b452526053ddc79d7e17d57d8	4218515	released
99e977f9-b988-4434-937a-fbb5f3b2eba2	f728660a-7291-4d92-b85a-a5077c6a4b86.rna_seq.augmented_star_gene_counts.tsv	6c264427311a92ebb65bf174b9a7b6f9	4250461	released
84a81bac-6f26-4787-b7a6-8abab21ef7eb	b05e342c-7c99-4ce4-8f5c-19dc88bc516a.rna_seq.augmented_star_gene_counts.tsv	d1513b1910b8cf17fb12901895df0875	4252266	released
ac56741a-daa1-409e-836d-631b99fe2d69	f81292b4-23cb-4ea1-a83b-27e84a2cafd5.rna_seq.augmented_star_gene_counts.tsv	97d46b3705234c7daf7a691f28c1cd3f	4240178	released
991cfe91-4257-4825-889a-d434b29a3002	ef512413-a2b3-400f-813b-ed90dd063ceb.rna_seq.augmented_star_gene_counts.tsv	599bc364389fc264cf724e2d5a64081b	4239832	released
61fb3d31-24d9-45ad-a3ee-7959fdafcd26	22200e14-44e6-4660-9289-62ad3db1df7b.rna_seq.augmented_star_gene_counts.tsv	0a12a099871f7a0408aaa22e65ae9c44	4240612	released
ab38f035-7835-46c9-a84a-63e786a8105a	3b1e6719-4f05-48cc-9376-98d7de78d515.rna_seq.augmented_star_gene_counts.tsv	0f220e7c7da7f977a1ef99b6bdd8e96d	4221593	released
62ccd09a-2b4c-4d6b-9316-0dea2d3ace18	dc49b777-0be6-430e-ab33-c0aa9f6264ee.rna_seq.augmented_star_gene_counts.tsv	ea7efa26d2dc7eacfda35e505423dcc5	4239109	released
6e052689-3350-4431-a1d9-4092e904541c	8fc6fb8e-a6e9-422b-be59-c6780a7a9b74.rna_seq.augmented_star_gene_counts.tsv	b3638c2c515bdd95f25d75feaabe45f0	4241019	released
a207bee7-dbb4-4ba5-a41f-c62b062e5821	331256b5-fe98-4d36-a48c-9a7e05ffd86c.rna_seq.augmented_star_gene_counts.tsv	7a0132d0dd021c8970c7846ef29179e2	4234012	released
1eb0b91c-4ccb-4546-a6f2-ead7fbac895b	74736985-64dc-4a89-a54c-394d95b7f33a.rna_seq.augmented_star_gene_counts.tsv	b2c823e094dfd04623e3b3e5ef39b54b	4235655	released
60d062b3-db5c-4d0a-bc1c-a8cc813be530	fd1c37e3-e982-417b-8cce-44fef6b6c2da.rna_seq.augmented_star_gene_counts.tsv	f71b1d6d8f6211fece93c131580b8146	4238769	released
ae6dbdbc-0a0e-4452-aacb-786cdf924e9d	651b509d-eb29-4b49-b91e-ce08e33ac875.rna_seq.augmented_star_gene_counts.tsv	7839ae275b92fd88fb4ca77fe07c1a63	4230162	released
70fb2f55-a31a-4074-b1fe-bf38968e8654	fd634fc1-ecd0-4e31-8410-64f0a26fb050.rna_seq.augmented_star_gene_counts.tsv	2916665be196e2cc02c6e46b66e7679d	4237615	released
cb31d173-1ffc-4758-92e8-723e3a4d1f48	c1990c79-964a-45db-8fa1-4ada47d10743.rna_seq.augmented_star_gene_counts.tsv	230a1268e2524d9c5b974587c688f3fd	4247849	released
793eed71-baca-44c6-9f3f-319c7a3cc80e	6798725d-5c9a-4e0b-84ce-fa7c327fd3c7.rna_seq.augmented_star_gene_counts.tsv	53d66862b014148343273b9bd7e0f8bb	4233387	released
5bf0e22b-aee2-43ef-8dad-08480a53acb4	367a6ca6-7c37-4032-b04c-e68f5b3a9ba4.rna_seq.augmented_star_gene_counts.tsv	62db7b97acf8365bde661dbc5bcb834d	4231948	released
a6f17737-59a3-468b-b6f2-207ff3a0fe5b	b2974e70-ca9b-4559-aa1d-cd342a529497.rna_seq.augmented_star_gene_counts.tsv	c6410830a2002d790dc0d8ee885e097f	4256695	released
f6af8616-f875-4154-9284-826affe98951	8e65ff0e-4620-4067-89a6-f53cc36bc49f.rna_seq.augmented_star_gene_counts.tsv	86e6a0e73493d5ddcaaecbf984f880c3	4235741	released
d1b418c6-fafb-49f6-8b9d-0752c1843623	f0b8075e-83ef-4ac9-a30d-8c1f9a18668e.rna_seq.augmented_star_gene_counts.tsv	2866ca78ccb1f289f2c789a22cb1a56d	4232499	released
